Назва поля, Тип [1]_, Формат, Опис
**Document-Invoice**,M,,Початок документа
**Invoice-Header**,M,Кількість входжень вузла: Min = 1; Max = 1,Заголовок (початок блоку)
InvoiceNumber,M,Рядок (16),Номер документу
InvoiceDate,M,Дата (РРРР-ММ-ДД),Дата складання документу
DocumentFunctionCode,M,Рядок (3),"Код типу документа:

* PRN - цінова накладна"
ContractNumber,M,Рядок (35),Номер договору
ContractDate,M,Дата (РРРР-ММ-ДД),Дата договору
InvoiceQuantity,M,Ціле число,Загальна кількість накладних; значення поля повинно бути більшим або рівним значенню поля InvoiceSequences
InvoiceSequences,M,Ціле число,Порядковий номер накладної в ланцюжку
**Invoice-Header**,,,Заголовок (закінчення блоку)
**Invoice-Reference**,M,Кількість входжень вузла: Min = 1; Max = 1,Документ-підстава (початок блоку)
**Order**,O/M,,Замовлення (початок блоку). Заповнюється при формуванні документа на підставі замовлення.
BuyerOrderNumber,M,Рядок (35),Номер документу-підстави (замовлення)
BuyerOrderDate,M,Дата (РРРР-ММ-ДД),Дата складання документу-підстави (замовлення)
**Order**,,,Замовлення (закінчення блоку)
**Invoice**,M,,Накладна за кількістю (початок блоку)
OriginalInvoiceNumber,"* **M** - для ORDER/EXCHANGE_SCHEMA_TYPE=2
* **O** - для ORDER/EXCHANGE_SCHEMA_TYPE=3",Рядок (35),Номер документу-підстави (Накладної за кількістю)
OriginalInvoiceDate,"* **M** - для ORDER/EXCHANGE_SCHEMA_TYPE=2
* **O** - для ORDER/EXCHANGE_SCHEMA_TYPE=3",Дата (РРРР-ММ-ДД),Дата складання документу-підстави (Накладної за кількістю)
**Invoice**,,,Накладна за кількістю (закінчення блоку)
**Invoice-Reference**,,,Документ-підстава (закінчення блоку)
**Invoice-Parties**,M,Кількість входжень вузла: Min = 1; Max = 1,"Сторони (контрагенти), між якими укладено документ (початок блоку)"
**Buyer**,M,Кількість входжень вузла: Min = 1; Max = 1,Блок покупця (початок)
ILN,M,Число (13),Глобальний номер розташування (GLN) контрагента
TaxID,M,Число (12),"Податковий ідентифікаційний номер"
UtilizationRegisterNumber,M,"Число(8,10)",Код ЄДРПОУ
Name,M,Рядок (60),Назва контрагента
**Buyer**,,,Блок покупця (закінчення)
**Seller**,M,Кількість входжень вузла: Min = 1; Max = 1,Блок продавця (початок)
