Назва поля,Тип [1]_,Формат,Опис
**ЕлектроннийДокумент**,M, ,Початок документа
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,M,Рядок (16),Номер документу комерційна дискусія
ТипДокументу,M,Рядок (50),Акт невідповідності
КодТипуДокументу,M,«009»,009=Акт невідповідності
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
НомерЗамовлення,M,Рядок (20),Номер замовлення за документом
ДатаЗамовлення,M,Дата (РРРР-ММ-ДД),Дата здійснення замовлення
МісцеСкладання,O,Рядок (255),Місце складання документу
**Заголовок**,,,Заголовок (завершення блоку)
**Сторони**,M,Кількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення:

* Покупець;
* Отримувач; 
* Продавець; 
* Замовник; 
* Виконавець;
* Перевізник;
* Платник;
* Підрядник;
* Відправник;
* Вантажоодержувач;
* Вантажовідправник;
* Експедитор;
* Клієнт;
* Консультант"
ВидОсоби,M,Рядок (20),Допустимі значення: Юридична Фізична
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер контрагента
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**,,,Контрагент (завершення блоку)
**Сторони**,M,,"Сторони, між якими укладено документ (завершення блоку)"
**Параметри**,M, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до основних полей специфікації"
"<Параметр ІД=«1» назва=«Документ підстава тип»>PRN</Параметр>",O,Рядок (250),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=1 вказується тип документа-підстави. Максимальна кількість тегів – 99."
"<Параметр ІД=«2» назва=«Документ підстава номер»>PMECNTEST4</Параметр>",M,Рядок (250),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=2 вказується номер документа-підстави. Максимальна кількість тегів – 99."
"<Параметр ІД=«3» назва=«Документ підстава дата»>2021-10-29</Параметр>",O,Рядок (250),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=3 вказується дата документа-підстави. Максимальна кількість тегів – 99."
"<Параметр ІД=«6» назва=«Точка доставки»>4824034999996</Параметр>",M,Рядок (250),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=6 вказується точка доставки. Максимальна кількість тегів – 99."
"<Параметр ІД=«7» назва=«ЭЦН»>[PMECNTEST4];[2021-10-30];[2021-10-29]</Параметр>",O,Рядок (250),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=7 через ; вказуються номер електронної цінової накладної, дата електронної цінової накладної та дата електронної кількісної накладної. Максимальна кількість тегів – 99."
**Параметри**,, ,Параметри (завершення блоку)
**Таблиця**,M/O,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку). Блок опціональний за наявності в документі поля: Параметр ІД=«...» назва=«ЭЦН»
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,M,Integer (3),Номер позиції
АртикулПокупця,M,Рядок (10),Артикул покупця
Найменування,M,Рядок (50),Найменування товарної позиції
ЗаявленаКількість,M,Decimal (#.00),Заявлена кількість товарних позицій
ПрийнятаКількість,M,Decimal (#.000),Прийнята кількість товарних позицій
ОдиницяВиміру,M,Рядок (10),Одиниці виміру [2]_
БазоваЦіна,M,Decimal (#.00),Ціна за одиницю без ПДВ
Текст,O,Рядок (100),Додаткова інформація
**Рядок**,,,Рядок (завершення блоку)
**Таблиця**,,,Таблиця (завершення блоку)
**ЕлектроннийДокумент**,,,Завершення документа
