Параметр,Тип [1]_,Формат,Опис
**UAECMR**.**ecmr**.**documentContext**.transactionID,M,string,Номер версії документа (транзакції) в ланцюгу підписання документів
**UAECMR**.**ecmr**.**documentContext**.**documentCode**.id,M,string,код типу документа
**UAECMR**.**ecmr**.**documentContext**.**documentSubCode**.id,M,string,код підтипу документа
**UAECMR**.**ecmr**.**exchangedDocument**.id,M,string,порядковий номер (серія) документа
**UAECMR**.**ecmr**.**exchangedDocument**.**issueDateTime**.dateTime,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата і час складання документа
**UAECMR**.**ecmr**.**exchangedDocument**.remarks,O,string,Ремарки
**UAECMR**.**ecmr**.**exchangedDocument**.**includedNote**.**contentCode**.listAgencyID,"M для GLN (решта O)",String,"Ідентифікатор:

* GLN
* transportation_max_temperature (Максимальна температура під час перевезення)
* logger_return (Повернення логера)
* logistic_unit_number_with_logger (Номер логістичної одиниці з термологером)
* gps_number (Номер GPS)
* logger_number (Номер термологера).

Ідентифікатори logistic_unit_number_with_logger / gps_number / logger_number вказуються контрагентом з роллю «Вантажовідправник». Ідентифікатори transportation_max_temperature та logger_return вказуються контрагентом з роллю «Вантажоодержувач»"
**UAECMR**.**ecmr**.**exchangedDocument**.**includedNote**.**contentCode**.value,M,"* для GLN = Число (13)
* для transportation_max_temperature = Число (3)
* для logger_return = «Так» / «Ні»
* для logistic_unit_number_with_logger = Рядок
* для gps_number = Рядок
* для logger_number = Рядок",значення ідентифікатора
**UAECMR**.**ecmr**.**exchangedDocument**.**includedNote**.content,M,string,"Код ролі учасника. `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__

* перевізник - CA
* новий перевізник - CH
* водій - DR
* новий водій - DRS"
**UAECMR**.**ecmr**.**exchangedDocument**.**issueLogisticsLocation**.name,M,string,Найменування місця складання ТТН
**UAECMR**.**ecmr**.**exchangedDocument**.**issueLogisticsLocation**.description,M,string,Опис (адреса) місця складання ТТН
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**grossWeightMeasure**.unitCode,M,string,`Код одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**grossWeightMeasure**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedInvoiceAmount**.currencyId,M,string,Тризначний код валюти (UAH)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedInvoiceAmount**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.consignmentItemQuantity,M,decimal,Загальна кількість місць вантажу (контейнерів)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Вантажовідправника
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.**id**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.name,M,string,"Повне найменування Вантажовідправника (юридичної особи або ПІБ фізичної-особи підприємця), що проводить відвантаження (списання) перелічених в ТТН товарно-матеріальних цінностей"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.roleCode,M,string,Роль учасника (Вантажовідправник - CZ). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.**tradeContact**.personName,O,string,ПІБ
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.**tradeContact**.**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.**tradeContact**.**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.**tradeContact**.**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.**postalTradeAddress**.postCode,O,string,Індекс
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.**postalTradeAddress**.streetName,M,string,Адреса (назва вулиці + номер будівлі)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.**postalTradeAddress**.cityName,M,string,Місто (назва населеного пункту)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.**postalTradeAddress**.countryID,M,string,Країна (UA)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.**postalTradeAddress**.countrySubDivisionName,O,string,Область та район (за наявності)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignor**.**taxRegistration**.id,O,string,РНОКПП відповідальної особи
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Вантажоодержувача
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.**id**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.name,M,string,"Повне найменування Вантажоодержувача (юридичної особи або ПІБ фізичної-особи підприємця), що проводить одержання (оприбуткування) перелічених в ТТН товарно-матеріальних цінностей"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.roleCode,M,string,Роль учасника (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.**tradeContact**.personName,O,string,ПІБ
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.**tradeContact**.**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.**tradeContact**.**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.**tradeContact**.**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.**postalTradeAddress**.postCode,O,string,Індекс
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.**postalTradeAddress**.streetName,M,string,Адреса (назва вулиці + номер будівлі)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.**postalTradeAddress**.cityName,M,string,Місто (назва населеного пункту)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.**postalTradeAddress**.countryID,M,string,Країна (UA)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.**postalTradeAddress**.countrySubDivisionName,O,string,Область та район (за наявності)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consignee**.**taxRegistration**.id,O,string,РНОКПП відповідальної особи
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Перевізника
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.**id**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.name,M,string,"Повне найменування Перевізника (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, з яким вантажовідправник уклав договір на надання транспортних послуг"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.**tradeContact**.personName,M,string,"ПІБ водія, що керуватиме ТЗ при перевезенні вантажу"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.**tradeContact**.**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.**tradeContact**.**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.**tradeContact**.**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.**postalTradeAddress**.postCode,O,string,Індекс
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.**postalTradeAddress**.streetName,M,string,Адреса (назва вулиці + номер будівлі)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.**postalTradeAddress**.cityName,M,string,Місто (назва населеного пункту)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.**postalTradeAddress**.countryID,M,string,Країна (UA)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.**postalTradeAddress**.countrySubDivisionName,O,string,Область та район (за наявності)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.**taxRegistration**.id,M,string,РНОКПП відповідальної особи (водія)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrier**.**specifiedGovernmentRegistrations**.id,M,string,"Серія та номер водійського посвідчення Водія. Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Експедитора
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).**id**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).name,M,string,"Повне найменування Експедитора (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, з яким вантажовідправник (замовник) уклав договір траспортного експедирування"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).roleCode,M,string,Роль учасника (Експедитор - FW). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).**tradeContact**.personName,O,string,ПІБ
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).**tradeContact**.**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).**tradeContact**.**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).**tradeContact**.**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).**postalTradeAddress**.postCode,O,string,Індекс
