НАЗВА ПОЛЯ, Тип [1]_, Формат, Опис
**CONDRA**,,, Початок документа
DATE, O, Дата (РРРР-ММ-ДД), Дата відправки вкладення в AGREEM чи до коментаря цього документа
NUMBERDOCTO, O, Рядок (16), Номер AGREEM
DATEDOCTO, O, Дата (РРРР-ММ-ДД), Дата AGREEM
CONTRACTNUMBER, О, Рядок (16), Номер специфікації (CONTRACTNUMBER в AGREEM)
COMPNUMBER,O, Рядок (1000), Номер договору (CAMPAIGNNUMBER в AGREEM)
**HEAD**,,, Початок основного блоку
SENDER, M, Число (13), GLN відправника AGREEM
RECIPIENT, M, Число (13), GLN одержувача AGREEM
TYPE, M, Число, "Тип. За замовчуванням = 5"
**CONTENT**,,, Вкладення (початок блоку)
FILENAME, M, Рядок (70), Назва файлу
**CONTENT**,,, Вкладення (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**CONDRA**,,, Закінчення документа
