Код,Назва укр.,,Код UN/EDIFACT,Назва UN/EDIFACT,Опис UN/EDIFACT
1,Акт,,220,Order,"Document/message by means of which a buyer initiates a transaction with a seller involving the supply of goods or services as specified, according to conditions set out in an offer, or otherwise known to the buyer."
2,Акт закупівельний ,,105,Purchase order,"Document/message issued within an enterprise to initiate the purchase of articles, materials or services required for the production or manufacture of goods to be offered for sale or otherwise supplied to customers."
3,Акт зважування,,14,Weight certificate,Certificate certifying the weight of goods.
4,Акт контролю завантаження/розвантаження продукції,,122,Transport loading report,"Report on completion of loading cargo, containers or other transport equipment onto a means of transport."
5,Декларація,,833,Cargo declaration (departure),"Generic term, sometimes referred to as Freight declaration, applied to the documents providing the particulars required by the Customs concerning the cargo (freight) carried by commercial means of transport (CCC)."
6,Довідка,,16,Certificate,Document by means of which the documentary credit applicant specifies the conditions for the certificate and by whom the certificate is to be issued.
7,Довіреність,,916,Related document,Document that has a relationship with the stated   document/message.
8,Договір,,315,Contract,(1296) Document/message evidencing an agreement between the seller and the buyer for the supply of goods or services; its effects are equivalent to those of an order followed by an acknowledgement of order.
9,Договір купівлі-продажу,,315,Contract,(1296) Document/message evidencing an agreement between the seller and the buyer for the supply of goods or services; its effects are equivalent to those of an order followed by an acknowledgement of order.
10,Договір страхування,,520,Insurance certificate,Document/message issued to the insured certifying that insurance has been effected and that a policy has been issued. Such a certificate for a particular cargo is primarily used when good are insured under the terms of a floating or an open policy; at the request of the insured it can be exchanged for a policy.
11,Експертний висновок,,841,Goods control certificate,"Document/message issued by a competent body evidencing the quality of the goods described therein, in accordance with national or international standards, or conforming to legislation in the importing country, or as specified in the contract."
12,Лист гарантійний,,715,Letter of indemnity for non-surrender of bill of lading,Document/message issued by a commercial party or a bank of an insurance company accepting responsibility to the beneficiary of the indemnity in accordance with the terms thereof.
13,Накладна видаткова,,395,Consignment invoice,Commercial invoice that covers a transaction other than one involving a sale.
14,Накладна податкова,,388,Tax invoice,An invoice for tax purposes.
15,Паспорт,,36,Identity card,Official document to identify a person.
16,Рахунок,,380,Commercial invoice,(1334) Document/message claiming payment for goods or services supplied under conditions agreed between seller and buyer.
17,Свідоцтво,,17,Combined certificate of value and origin,"Document identifying goods in which the issuing authority expressly certifies that the goods originate in a specific country or part of, or group of countries. It also states the price and/or cost of the goods with the purpose of determining the customs origin."
18,Сертифікат,,16,Certificate,Document by means of which the documentary credit applicant specifies the conditions for the certificate and by whom the certificate is to be issued.
19,Сертифікат ветеринарний,,853,Veterinary certificate,"Document/message issued by the competent authority in the exporting country evidencing that live animals or birds are not infested or infected with disease, and giving details regarding their provenance, and of vaccinations and other treatment to which they have been subjected."
20,Сертифікат карантинний,,629,Veterinary quarantine certificate,"A certification that livestock or animal products, that are either imported or entering free zones, are kept under health supervision for a time period determined by veterinary quarantine instructions."
21,Сертифікат походження,,861,Certificate of origin,"Document/message identifying goods, in which the authority or body authorized to issue it certifies expressly that the goods to which the certificate relates originate in a specific country. The word ""country"" may include a group of countries, a region or a part of a country. This certificate may also include a declaration by the manufacturer, producer, supplier, exporter or other competent person."
22,Сертифікат радіоконтролю,,16,Certificate,Document by means of which the documentary credit applicant specifies the conditions for the certificate and by whom the certificate is to be issued.
23,Сертифікат санітарний,,852,Sanitary certificate,"Document/message issued by the competent authority in the exporting country evidencing that alimentary and animal products, including dead animals, are fit for human consumption, and giving details, when relevant, of controls undertaken."
24,Сертифікат якості,,3,Certificate of quality,"Certificate certifying the quality of goods, services etc."
25,Специфікація,,6,Product specification report,Report providing specification values of products.
