Назва поля,Тип [1]_,Формат,Опис
**ЕлектроннийДокумент**,M, ,Початок документа
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,M,Рядок (16),Номер документа
ТипДокументу,M,Рядок (50),"Тип документа: Акт приймання-передачі (додаток 8)"
КодТипуДокументу,M,«032»,"Допустиме значення: 032 => Акт приймання-передачі (додаток 8)"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документа
НомерЗамовлення,M,Рядок (20),Номер замовлення
ДатаЗамовлення,M,Дата (РРРР-ММ-ДД),Дата здійснення замовлення
ДокВерсія,M,Число позитивне (1-99),"Версія документа"
**ДокПідстава**,M,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,M,Рядок (30),Номер документа-підстави
ТипДокументу,M,Рядок (50),"Тип документа: Договір"
КодТипуДокументу,M,«001»,"Допустиме значення: 001 => Договір"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документа-підстави
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
НомерВідвантаження,M,Рядок (50),Номер повідомлення про відвантаження
ДатаВідвантаження,M,Дата (РРРР-ММ-ДД),Дата повідомлення про відвантаження
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення: Замовник"
ВидОсоби,M,Рядок (20),"Допустимі значення:
Юридична;
Фізична"
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер
Телефон,O,Рядок (20),Телефон контрагента
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**ВідповідальнаОсоба**,M,Мількість входжень вузла: Min = 1; Max = 1,Дані відповідальної особи (початок блоку)
Прізвище,M,Рядок (50), Прізвище
Імя,M,Рядок (50),Імя
ПоБатькові,M,Рядок (50),По батькові
ІПН,M,Рядок (12),Індивідуальний податковий номер
Посада,M,Рядок,Посада довіреної особи
НаПідставі,M,Рядок,№ довіреності / назва документа
НаПідставіДата,M,Дата (РРРР-ММ-ДД),Дата довіреності / документа
**ВідповідальнаОсоба**, , ,Дані відповідальної особи (завершення блоку)
**Контрагент**, , ,Контрагент (завершення блоку)
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення: Виконавець"
