**Supplier_Documents**,**Блок налаштувань документів постачальника**,,**Опис**
,,EDIN_Quantity,Блок опису налаштування по збереженню місця збереження кількості повідомлення про прийом EDIN в табличній частині документу
,INVOICE,,Блок збереження налаштувань для вивантаження рахунку
,,Document1С | BAS,"Назва документа 1С | BAS, який виступає підставою для вивантаження рахунку"
,,EDIN_ID_CHAIN,"Блок опису налаштування по збереженню ідентифікатора ланцюжка документів із платформи EDIN, до якого відноситься документ 1С | BAS"
,,EDIN_DocumentNumber,Блок опису налаштування по збереженню місця пошуку номера для рахунку EDIN
,,EDIN_DocumentDate,Блок опису налаштування по збереженню місця пошуку дати для рахунку EDIN
,,EDIN_Quantity,Блок опису налаштування для отримання кількості для вивантаження рахунку EDIN
,COMDOC_006,,Блок збереження налаштувань для вивантаження комерційного документу «Видаткова накладна»
,,Document1С | BAS,"Назва документа 1С | BAS, який виступає підставою для вивантаження рахунку"
,,EDIN_ID,Блок опису налаштування по збереженню ідентифікатора документа із платформи EDIN при вивантаженні видаткової накладної EDIN
,,EDIN_ID_CHAIN,"Блок опису налаштування по збереженню ідентифікатора ланцюжка документів із платформи EDIN, до якого відноситься документ 1С | BAS"
,,EDIN_DocumentNumber,Блок опису налаштування по збереженню місця пошуку номера для видаткової накладної EDIN
,,EDIN_DocumentDate,Блок опису налаштування по збереженню місця пошуку дати для видаткової накладної EDIN
,,EDIN_Partner,Блок опису налаштування по пошуку покупця в документі 1С | BAS при вивантаженні видаткової накладної EDIN
,,EDIN_DeliveryPoint,Блок опису налаштування по пошуку точки доставки в документі 1С | BAS при вивантаженні видаткової накладної EDIN
,,EDIN_Quantity,Блок опису налаштування для отримання кількості для вивантаження видаткової накладної EDIN
,COMDOC_007,,Блок збереження налаштувань для завантаження комерційних документів «Прибуткова накладна»
,,Document1С | BAS,"Назва документа 1С | BAS, який буде відповідати завантаженому документу EDIN"
,,EDIN_ID,Блок опису налаштування по збереженню ідентифікатора документа із платформи EDIN
,,EDIN_ID_CHAIN,"Блок опису налаштування по збереженню ідентифікатора ланцюжка документів із платформи EDIN, до якого відноситься документ EDIN"
,,EDIN_DocumentNumber,Блок опису налаштування по збереженню номера комерційного документу EDIN
,,EDIN_DocumentDate,Блок опису налаштування по збереженню номера комерційного документу EDIN
,DECLAR,,Блок збереження налаштувань для вивантаження податкової накладної
,,EDIN_ID,Блок опису налаштування по збереженню ідентифікатора документа із платформи EDIN при вивантаженні податкової накладної EDIN
,,EDIN_ID_CHAIN,"Блок опису налаштування по збереженню ідентифікатора ланцюжка документів із платформи EDIN, до якого відноситься документ 1С | BAS"
