Назва поля,Тип [1]_,Формат,Опис
**TRANSPORTATIONORDER**,M,,Початок документа
NUMBER,M,Рядок (50),Номер документа
DATE,M,YYYY-MM-DD,Дата документа
SUBDOCTYPE,M,Число (1),"Підтип документа:

* 1 - заявка на транспортування (ORDER)
* 2 - підтвердження заявки на транспортування (CONFIRMATION)"
**ASSOCIATEDREFERENCEDDOCUMENT**,O,,Посилання на документ-підставу (початок блоку)
NUMBER,O,Рядок (50),Номер документа-підстави
DATE,O,YYYY-MM-DD,Дата документа-підстави
UUID,O,Рядок,UUID документа-підстави
**ASSOCIATEDREFERENCEDDOCUMENT**,,,Посилання на документ-підставу (завершення блоку)
TRANSPORTATIONTYPE,M,Число (1),"Вид перевезень:

* 1 - покілометровий тариф;
* 2 - погодинний тариф;
* 3 - відрядний тариф;
* 4 - централізоване перевезення;
* 5 - внутрішньоміське;
* 6 - приміське;
* 7 - міжміське;
* 8 - міжнародне перевезення;
* 9 - перевезення між складами (шатлінг);
* 10 - доставка до дистриб’ютора та ключових клієнтів (дистрибуція);
* 11 - перевезення збірного вантажу (пулінг)"
CAMPAIGNNUMBER,O,Рядок (100),Номер договору
CAMPAIGNDATE,"O (M - якщо заповнено CAMPAIGNNUMBER)",YYYY-MM-DD,Дата договору
PURCHASEORDERNUMBER,O,Рядок,Замовлення на закупівлю
TRANSPORTATIONPAYMENTTYPE,O,Число (1),"Cпосіб тарифікації:

* 1 - фіксована вартість;
* 2 - за кілометраж;
* 3 - за тоннаж"
**TRANSPORTATIONCOST**,O,,Вартість перевезення (початок блоку)
WITHOUTVAT,"O (M - якщо TRANSPORTATIONPAYMENTTYPE = 1)","Позитивне число з плаваючою точкою (10,2)",Вартість перевезення без ПДВ
VAT,O,Число (2),"Ставка ПДВ, %: 20, 7, 0"
WITHVAT,"O (M - якщо TRANSPORTATIONPAYMENTTYPE = 1)","Позитивне число з плаваючою точкою (10,2)",Вартість перевезення з ПДВ
**TRANSPORTATIONCOST**,,,Вартість перевезення (завершення блоку)
**TRANSPORTATIONMEANS**,O (М - якщо SUBDOCTYPE = 2),,Інформація про транспортний засіб (початок блоку)
CATEGORYCODE,M,Рядок,"Тип транспортного засобу:

* TRUCK - Вантажний (якщо нічого не вказано)
* TE - Trailer (причіп/напівпричіп)"
CHARACTERISTICCODE,"О (М - якщо CATEGORYCODE = TE)",Число (2),"Код визначення Причіп/напівпричіп:

* 14 - Причіп
* 17 - Напівпричіп"
ID,M,Рядок (16),Реєстраційний номер
MODEL,M,Рядок,Модель
BRAND,M,Рядок,Марка
TYPE,M,Рядок,Тип
COLOR,O,Рядок,Колір
**TEMPERATURE**,O,,Температура (початок блоку)
MIN,M,Рядок,Мінімальна температура
MAX,M,Рядок,Максимальна температура
**TEMPERATURE**,,,Температура (завершення блоку)
**TRANSPORTATIONMEANS**,,,Інформація про транспортний засіб (завершення блоку)
LENGTHROUTE,"O (M - якщо TRANSPORTATIONPAYMENTTYPE = 2)","Позитивне число з плаваючою точкою (10,3)",Загальна відстань перевезення (кілометраж)
TRANSPORTTYPE,O,Рядок,Тип транспорту
**TEMPERATURE**,O,,Температура (початок блоку)
MIN,M,Рядок,Мінімальна температура
MAX,M,Рядок,Максимальна температура
**TEMPERATURE**,,,Температура (завершення блоку)
DESCRIPTION,O,Рядок,Найменування вантажу
TOTALPACKAGEWEIGHT,M,"Позитивне число з плаваючою точкою (10,3)","Загальна маса брутто, кг"
TOTALPACKAGEQUANTITY,O,"Позитивне число з плаваючою точкою (10,3)",Загальна кількість місць
LOADFACTOR,O,"Позитивне число з плаваючою точкою (10,2)",Коефіцієнт завантаження
INFO,O,Рядок,Додаткова інформація
FINANCIALINFO,O,Рядок,Додаткова інформація для фінансового відділу
**HEAD**,M,,Початок основного блоку
**CUSTOMER**,M,,Дані Замовника (початок блоку)
GLN,M,Число (13),GLN Замовника (відправника)
ID,M,"* Позитивне ціле число (8) - ЄДРПОУ
* Позитивне ціле число (10) - ІПН
* Рядок (8) - серія, номер паспорта
* Позитивне ціле число (9) - ID карта","ЄДРПОУ / ІПН / ID карта / серія, номер паспорта Замовника"
NAME,M,Рядок,Назва компанії Замовника
ADDRESS,M,Рядок,Юридична адреса Замовника
**CUSTOMER**,,,Дані Замовника (завершення блоку)
**CARRIER**,M,,Дані Перевізника (початок блоку)
GLN,M,Число (13),GLN Перевізника (отримувача)
ID,M,"* Позитивне ціле число (8) - ЄДРПОУ
* Позитивне ціле число (10) - ІПН
* Рядок (8) - серія, номер паспорта
* Позитивне ціле число (9) - ID карта","ЄДРПОУ / ІПН / ID карта / серія, номер паспорта Замовника"
NAME,M,Рядок,Назва компанії Перевізника
ADDRESS,M,Рядок,Юридична адреса Перевізника
**CARRIER**,,,Дані Перевізника (завершення блоку)
**CONSIGNOR**,M,,Дані Вантажовідправника (початок блоку)
GLN,M,Число (13),GLN Вантажовідправника
ID,M,"* Позитивне ціле число (8) - ЄДРПОУ
* Позитивне ціле число (10) - ІПН
* Рядок (8) - серія, номер паспорта
* Позитивне ціле число (9) - ID карта","ЄДРПОУ / ІПН / ID карта / серія, номер паспорта Вантажовідправника"
NAME,M,Рядок,Назва компанії Вантажовідправника
ADDRESS,M,Рядок,Юридична адреса Вантажовідправника
**CONSIGNOR**,,,Дані Вантажовідправника (завершення блоку)
**DRIVER**,O,,Дані Водія (початок блоку)
GLN,M,Число (13),GLN Водія
ID,M,"* Позитивне ціле число (8) - ЄДРПОУ
* Позитивне ціле число (10) - ІПН
* Рядок (8) - серія, номер паспорта
* Позитивне ціле число (9) - ID карта","ЄДРПОУ / ІПН / ID карта / серія, номер паспорта Водія"
NAME,M,Рядок,ПІБ Водія
LICENSE,M,"Рядок (9) - 3 букви, 6 цифр","Серія, номер водійського посвідчення"
**DRIVER**,,,Дані Водія (завершення блоку)
TEXT,O,Рядок,Додаткова інформація від ініціатора документа
**POSITION**,M,,Інформація про маршрут і вантаж (початок блоку)
POSITIONNUMBER,M,Позитивне ціле число,Номер позиції
**LOAD**,M,,Пункт навантаження (початок блоку)
**ADDRESS**,M,,Адреса пункту навантаження (початок блоку)
GLN,M,Число (13),GLN пункту навантаження
ID,M,Рядок (19),Код КАТОТТГ
NAME,M,Рядок,Населений пункт навантаження
ADDRESS,M,Рядок,Адреса пункту навантаження
**ADDRESS**,,,Адреса пункту навантаження (завершення блоку)
DATE,M,YYYY-MM-DD HH:MM,Дата-час навантаження
CONSIGNORCONTACTFACENAME,O,Рядок,ПІБ відповідальної особи Вантажовідправника
CONSIGNORCONTACTFACENUMBER,O,Рядок,Моб. телефон відповідальної особи Вантажовідправника
**LOAD**,,,Пункт навантаження (завершення блоку)
**UNLOAD**,M,,Пункт розвантаження (початок блоку)
**ADDRESS**,M,,Адреса пункту розвантаження (початок блоку)
GLN,M,Число (13),GLN пункту розвантаження
ID,M,Рядок (19),Код КАТОТТГ
NAME,M,Рядок,Населений пункт розвантаження
ADDRESS,M,Рядок,Адреса пункту розвантаження
**ADDRESS**,,,Адреса пункту розвантаження (завершення блоку)
DATE,O,YYYY-MM-DD HH:MM,Дата-час розвантаження
**CONSIGNEE**,M,,Дані Вантажоодержувача (початок блоку)
GLN,M,Число (13),GLN Вантажоодержувача
ID,M,"* Позитивне ціле число (8) - ЄДРПОУ
* Позитивне ціле число (10) - ІПН
* Рядок (8) - серія, номер паспорта
* Позитивне ціле число (9) - ID карта","ЄДРПОУ / ІПН / ID карта / серія, номер паспорта Вантажоодержувача"
NAME,M,Рядок,Назва компанії Вантажоодержувача
ADDRESS,M,Рядок,Юридична адреса Вантажоодержувача
**CONSIGNEE**,,,Дані Вантажоодержувача (завершення блоку)
CONSIGNEECONTACTFACENAME,O,Рядок,ПІБ відповідальної особи Вантажоодержувача
CONSIGNEECONTACTFACENUMBER,O,Рядок,Моб. телефон відповідальної особи Вантажоодержувача
**UNLOAD**,,,Пункт розвантаження (завершення блоку)
PACKAGEWEIGHT,O,"Позитивне число з плаваючою точкою (10,3)","Маса брутто, кг"
PACKAGEQUANTITY,O,"Позитивне число з плаваючою точкою (10,3)",Кількість місць
TRANSPORTTYPE,O,Рядок,Вид транспорту
**TEMPERATURE**,O,,Температура (початок блоку)
MIN,M,Рядок,Мінімальна температура
MAX,M,Рядок,Максимальна температура
**TEMPERATURE**,,,Температура (завершення блоку)
INFO,O,Рядок,Додаткова інформація
**POSITION**,,,Інформація про маршрут і вантаж (завершення блоку)
**HEAD**,,,Завершення основного блоку
**TRANSPORTATIONORDER**,,,Завершення документа
