Назва поля, Тип [1]_, Формат, Опис
**ORDER**,,, Початок документа
DOCUMENTNAME, М, Число позитивне, Назва документа (220 -замовлення)
NUMBER, М, Рядок (50), Номер замовлення
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата доставки
DELIVERYTIME, O, Час (год: хв), Час доставки
CAMPAIGNNUMBER, М, Рядок (70), Номер договору на поставку
CAMPAIGNTYPE, O,, Тип договору: MI – Invoice Matching
CURRENCY, М, Рядок (3), Код валюти
DOCTYPE, М, Рядок (1), "Тип документа:

* O - оригінал,
* R - заміна,
* D - видалення,
* F - фіктивність замовлення"
INFO, М, Рядок (70), Вільний текст
**PREORDER**,O,,Попередні замовлення (початок блоку)
PREORDERNUM,O,Рядок (10),Номер першого Попереднього замовлення (тег може бути використаний декілька разів)
**PREORDER**,O,,Попередні замовлення (закінчення блоку)
**HEAD**,,, Початок основного блоку
SUPPLIER, M, Число (13), GLN постачальника
BUYER, M, Число (13), GLN покупця
DELIVERYPLACE, M, Число (13), GLN місця доставки
INVOICEPARTNER, M, Число (13), GLN платника
SENDER, M, Число (13), GLN відправника повідомлення
RECIPIENT, M, Число (13), GLN одержувача повідомлення
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число позитивне, Номер товарної позиції
PRODUCT, M, "Число (8, 10, 14)", Штрихкод продукту
PRODUCTIDBUYER, О, Рядок (16), Артикул в БД покупця
ORDEREDQUANTITY, M, Число позитивне, Замовлена ​​кількість
ORDERUNIT, M, Рядок (3), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
MINIMUMORDERQUANTITY, M, Число позитивне, Мінімальна кількість товару для замовлення
**CHARACTERISTIC**,,, Характеристики (початок блоку)
DESCRIPTION, M, Рядок (70), Опис продукту
**CHARACTERISTIC**,,, Характеристики (закінчення блоку)
**POSITION**,,, Товарні позиції (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**ORDER**,,, Закінчення документа
