Параметр,Формат,Опис
.. _XDocAttachment: ,**Об'єкт XDocAttachment** ,
id,long,id вкладення
docUUID,UUID,унікальний ідентифікатор документа
attachmentUUID,UUID,унікальний ідентифікатор вкладення
fileName,String,найменування файлу
createDate,long,дата створення вкладення; формат unix timestamp
type,String,тип вкладення
base64content,String,зміст вкладення в BASE64
content,transient byte[],байтовий масив контенту
signs,List<XDocAttachmentSign_>,масив об'єктів; підписи вкладень (документів)
signHash,String,хеш підпису
