Параметр,Тип [1]_,Формат,Опис
.. _StorageQuery: ,, Об'єкт **StorageQuery** ,
**extraParams**, ,List<ExtraQueryParameters_>,масив об'єктів; набір індексів
**multiExtraParams**, ,List<ExtraQueryParameters_>,масив об'єктів; мультиіндекс (може приймати масив параметрів з масивами значень для кожного з параметрів)
**type**,M,List<XDocType_>,"масив об'єктів; список типів документів: 0 - всі типи, 1/2/3 ... і більше - конкретний тип документа"
**statuses**,M,**List<Integer>**,"масив; список статусів (станів) документів, за якими буде відбуватися відбір:

* 0 - all (всі)
* 1 - open (чернетки)
* 2 - sent (відправлені-Відправник)
* 3 - delivered (доставлені-Відправник)
* 4 - inbox (вхідні-Отримувач)
* 5 - read (прочитані-Отримувач)
* 6 - error (помилка)
* 7 - deleted (видалені)"
**extraStatuses**, ,**List<Integer>**,"масив; список екстрастатусів"
**tags**, ,**List<Long>**,масив; тег
**exchangeStatus**,O,**List<Integer>**,масив; статус документообігу
**docs**, ,**List<Long>**,масив; документи
**docUUIDs**, ,**List<UUID>**,масив; унікальні ідентифікатори документів
**partners**, ,**List<Long>**,масив; ідентифікатори контрагентів
**families**, ,**List<Integer>**,"масив; ознака сервісу (сімейство)

* 1 - EDI+ЮЗД
* 7 - ЕТТН"
**direction**,M,Direction_,"об'єкт; напрямок документообігу; вказуються відправник, отримувач і зв'язок між ними в умовах відбору документів"
**chainTypes**,O,**List<Integer>**,"масив; тип ланцюжка документів

* 0 - звичайний
* 2 - особлива схема - MATCH INVOICE (ТМ Фоззі)
* 3 - особлива схема - не MATCH INVOICE (ТМ Фоззі)"
**limit**,O,Limitation_,об'єкт; фільтр відбору (налаштування виводу даних)
orderBy,O,OrderBy,фільтрувати по даті чи опису документа
groupBy,O,String,об'єднані по id ланцюжка/документа
number,O,String,номер документа
family,O,int,"сімейство

* 1 - EDI
* 2 - UZD
* 4 - CERTIFICATS
* 6 - ATS
* 7 - ETTN
* 8 - DISTRIBUTION
* 9 - SIMPLEDOC (Вільний)
* 10 - TENDER
* 11 - AGREEMENT
* 12 - OPENPRICE (Є-Товар)"
partnerId, ,Long,id роздрібної мережі
chainHash, ,String,"хеш-значення, отримане в результаті обробки ланцюжка"
docHash, ,String,"хеш-значення, отримане в результаті обробки документа"
**docDate**,O,DateTimeRange_,об'єкт; дата зазначена в документі (в форматі UNIX-timestamp) з / по
**docCreate**,O,DateTimeRange_,об'єкт; дата створення документа (у форматі UNIX-timestamp) з / по
**docRead**,O,DateTimeRange_,об'єкт; дата прочитання документа (у форматі UNIX-timestamp) з / по
**docChanged**,O,DateTimeRange_,об'єкт; дата останньої зміни документа (у форматі UNIX-timestamp) з / по
archive, ,Boolean,відмітка наявності архівної ознаки документа
important, ,boolean,"відмітка **важливий** документ"
visible, ,boolean,відмітка видимості
loadBody, ,boolean,відмітка наявності тіла документа
loadComments, ,boolean,відмітка наявності коментарів до документа
loadStatuses, ,boolean,відмітка наявності статусів документа
loadTags, ,boolean,відмітка наявності тегів документа
loadChain, ,boolean,відмітка наявності ланцюжка документів
loadAttachments, ,boolean,відмітка наявності вкладень
