Параметр, Формат, Опис
.. _ETTN:, Об'єкт **ETTN**,
**DECLARHEAD**,ETTNHEAD_,об'єкт; складовий номер документа
HNUM,String,номер документа
HFILL,String,дата документа
R01G1S,String,марка автомобіля
R01G2S,String,реестраційний номер автомобіля
R01G3S,String,тип автомобіля
R01G4S,String,марка причіпа/напівпричіпа
R01G5S,String,реєстраційний номер причіпа/напівпричіпа
R01G6S,String,тип причіпа/напівпричіпа
R01G7S,String,марка причіпа/напівпричіпа 2
R01G8S,String,реєстраційний номер причіпа/напівпричіпа 2
R01G9S,String,тип причіпа/напівпричіпа 2
R01G10S,String,вид перевезень
R02G11S,long,ідентифікаційний код (ЄДРПОУ) автомобільного перевізника
R02G1S,String,найменування автомобільного перевізника
R02G3S,String,П.І.Б. водія
R02G4S,String,номер посвідчення водія
R02G21S,long,ідентифікаційний код (ЄДРПОУ) замовника
R02G2S,String,найменування замовника
HTIN,long,ідентифікаційний код (ЄДРПОУ) вантажовідправника
HNAME,String,повне найменування вантажовідправника
HLOC,String,місцезнаходження вантажовідправника
R04G1S,long,ідентифікаційний код (ЄДРПОУ) вантажоодержувача
R04G2S,String,повне найменування вантажоодержувача
R04G3S,String,місцезнаходження вантажовідправника
R05G2S,String,місцезнаходження пункту навантаження
R05G21S,String,код пункту навантаження за КОАТУУ
R05G4S,String,місцезнаходження пункту розвантаження
R05G41S,String,код пункту розвантаження за КОАТУУ
R012G3S,String,кількість місць (словами)
R013G1,double,маса брутто (цифрами)
R013G2S,String,маса брутто (словами)
R010G3S,String,усього відпущено на загальну суму з урахуванням ПДВ (словами)
R011G1,double,сума ПДВ
R014G1S,String,Супровідні документи та вантаж
T1RXXXXG81S,List<RXXType_>,масив; таблична частина: найменування вантажу (номер контейнера)
T1RXXXXG82,List<RXXType_>,масив; таблична частина: клас небезпечних речовин
T1RXXXXG9S,List<RXXType_>,масив; таблична частина: одиниця виміру
T1RXXXXG10,List<RXXType_>,масив; таблична частина: кількість місць
T1RXXXXG11,List<RXXType_>,масив; таблична частина: ціна без ПДВ за одиницю (грн)
T1RXXXXG12,List<RXXType_>,масив; таблична частина: загальна сума з ПДВ (грн)
T1RXXXXG13S,List<RXXType_>,масив; таблична частина: вид пакування
T1RXXXXG14S,List<RXXType_>,масив; таблична частина: документи з вантажем
T1RXXXXG15,List<RXXType_>,масив; таблична частина: маса брутто
R001G10,double,таблична частина: кількість місць усього
R001G12,double,таблична частина: загальна сума з ПДВ усього (грн)
