Ticket,exchange_status,sub_status_id,Статус,Коментар
T0,«000000000000000000000000»,«0»,«Не підписано»,Інтегрована відправка не підписаного документа
T1,«000000000000000000000001»,**«1»**,«Потребує підписання отримувачем»,Підписано лише Відправником
T1,«000000000000000000000001»,**«2»**,«Потребує підписання відправником»,Підписано лише Отримувачем
T2,«000000000000000000000011»,«2»,«Підписано двома сторонами» / «Документ не потребує підписання»,Підписано з обох сторін **не важливо в якому порядку** / Відправлений документ містить поле «ОдностороннєПідписання» (підписується лише відправником)
T **11** 1,«000000000000010000000001», ,«Запит на анулювання»,В разі інтегрованої відправки COMDOC_19(Запит на анулювання) до підписання документа COMDOC
T **11** 2,«000000000000010000000011»,«3»,«Запит на анулювання»,Може відправлятись на COMDOC «Підтверджений з двох сторін» (2 Ticket) чи після «Відмови в анулюванні» (15 Ticket)
T **12** 1,«000000000000110000000001», ,"«Прийняття запиту на анулювання»

АБО

«Анульовано» в разі підписання вхідного інтегровано відправленого COMDOC_19(Запит на анулювання) до підписання документа COMDOC", 
T **12** 2,«000000000000110000000011»,«4»,«Анульовано», 
T **13** 1,«000000000001000000000001»,«5»,«Відмовлено в підписі», 
T **14** 1,«000000000010000000000001»,«6»,«Відкликано», 
T **15**,«000000000100010000000011»,«2»,«Відмовлено в анулюванні»,Може відправлятись у відповідь на «Запит на анулювання» (11 Ticket)
