Назва поля, Тип, Формат, Опис
**CONTRL**,,, Початок документа
NUMBER, М, Рядок (16), Номер повідомлення про прийом RECADV
DATE, М, Дата (РРРР-ММ-ДД), Поточна дата
RECADVDATE, М, Дата (РРРР-ММ-ДД), Дата документа RECADV
ORDERNUMBER, М, Рядок (16), Номер документа ORDER
ORDERDATE, М, Дата (РРРР-ММ-ДД), Дата документа ORDER
RECIPIENT,М, Число (13), GLN одержувача
SUPPLIER,М, Число (13), GLN постачальника
BUYER, М, Число (13), GLN покупця
ACTION, М, Число (1), Допустиме значення «1»
**CONTRL**,,, Закінчення документа
