Параметр,Обов'язкове / необов'язкове поле, Формат, Опис
.. _RBODY:,, Об'єкт **RBODY**,
TYPE,О,«CORE»,тип документа (Основа)
STAKE,О,«ORIGINATOR»,"учасник-підписант (Перевізник, що здає вантаж)"
HNUM,О,String,номер Акта перевантаження
HFILL,О,date(YYYY-MM-DD),дата Акта перевантаження
BASE_HNUM,О,String,номер документа-підстави (ТТН)
BASE_HFILL,О,date(YYYY-MM-DD),дата документа-підстави (ТТН)
UUID_TTN,О,UUID,унікальний ідентифікатор ТТН
**TRANSPORT_UNLOAD**,О,RTRANSPORT_,"об’єкт; інформація про Перевізника, що здав вантаж та його авто"
**TRANSPORT_LOAD**,О,RTRANSPORT_,"об’єкт; інформація про Перевізника, що прийняв вантаж та його авто"
