Назва поля,Тип [1]_,Формат,Опис
**ЕлектроннийДокумент**,M, ,Початок документу
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,M,Рядок (16),Номер документу
ТипДокументу,M,Рядок (50),`Назва типу комерційного документу <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/EveryBody/ExtraQueryParameters_fieldName_sub_doc_type_id.html>`__
ТипСхеми,O,0 чи 1,0 - стандартна схема (з попереднім узгодженням); 1 - нестандартна схема (без попереднього узгодження)
КодТипуДокументу,M,«005» / «006» / «007» ...,`Код типу комерційного документу <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/EveryBody/ExtraQueryParameters_fieldName_sub_doc_type_id.html>`__
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
ТермінОплати,O,Дата (РРРР-ММ-ДД),Термін оплати (дата)
ПричинаАнулювання, , ,"Причина, з якої документ анулюється (вважається недійсним)"
ДатаАнулювання, ,Дата (РРРР-ММ-ДД),"Дата, з якої документ анулюється (вважається недійсним)"
НомерЗамовлення,O,Рядок (20),Номер замовлення за документом
ПроцентШтрафу,O, ,Відсоток штрафу
ДатаЗамовлення,O,Дата (РРРР-ММ-ДД),Дата здійснення замовлення
НомерДоговоруПоставки,O,Рядок (30),"Номер договору, за яким здійснюється поставка "
ДатаДоговоруПоставки,O,Дата (РРРР-ММ-ДД),"Дата договору, за яким здійснюється поставка "
ПлановаДатаДоставки, ,Дата (РРРР-ММ-ДД),Планова дата доставки 
МісцеСкладання,O,Рядок (255),Місце складання документу
НомерТовУзгодження,O,Рядок (16),Номер товарного узгодження 
ДатаТовУзгодження,O,Дата (РРРР-ММ-ДД),Дата товарного узгодження 
НомерКонтракту,O,Рядок (16),Номер контракту 
ДатаКонтракту,O,Дата (РРРР-ММ-ДД),Дата контракту 
**ТермінДії**,O,Кількість входжень вузла: Min = 0; Max = 1,"Термін, на період якого документ вважається чинним (початок блоку)"
Початок,M,Дата (РРРР-ММ-ДД),Дата початку дії документу
Кінець,M,Дата (РРРР-ММ-ДД),Дата закінчення терміну дії документу
**ТермінДії**, , ,"Термін, на період якого документ вважається чинним (завершення блоку)"
**ТермінПідпису**,O, ,"Термін, у межах якого можна підписати документ (початок блоку)"
Початок, ,Дата (РРРР-ММ-ДД),Дата початку терміну дії підписання
Кінець, ,Дата (РРРР-ММ-ДД),Дата закінчення терміну дії підписання
**ТермінПідпису**, , ,"Термін, у межах якого можна підписати документ (завершення блоку)"
**ПеріодНаданняПослуг**, , ,"Термін, на період якого надаються послуги (початок блоку)"
Початок,O,Дата (РРРР-ММ-ДД),"Дата початку періоду, на час якого надаються послуги "
Кінець,O,Дата (РРРР-ММ-ДД),"Дата закінчення періоду, на час якого надаються послуги"
**ПеріодНаданняПослуг**, , ,"Термін, на період якого надаються послуги (завершення блоку)"
МісцеСкладання,O,Рядок (255),Місце укладання документу
Коментар,O,Рядок (50),Максимальна кількість тегів – 10. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**ДокПідстава**,O,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,M,Рядок (30),Номер документу-підстави
ТипДокументу,M,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,M,«001» / «002» / «003» ...,`Код типу документу <https://wiki.edin.ua/uk/latest/XML/code_doctype.html>`__
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**ДокументЩоАнулюється**, , ,"Документ, що аннулюється (початок блоку)"
НомерДокументу,M,Рядок (20),"Номер документу, що анулюється "
ТипДокументу,M,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,M,«001» / «002» / «003» ...,`Код типу документу <https://wiki.edin.ua/uk/latest/XML/code_doctype.html>`__
ДатаДокументу,M,Дата (РРРР-ММ-ДД),"Дата документу, що анулюється "
**ДокументЩоАнулюється**, , ,"Документ, що аннулюється (завершення блоку)"
**Відхилив**, , ,"До заповнення реквізитами компанії, що відхиляє документ (початок блоку)"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,M,Рядок (20),"Допустимі значення:
Юридична;
Фізична"
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
**ІПН**, , ,Блок індивідуального податкового номера
СвідоцтвоПДВ,O,Integer (10),Свідоцтво платника ПДВ (податку на додану вартість)
МФО,O,Рядок,МФО банку 
Телефон,O,Рядок (20),Телефон контрагента
**ІПН**, , ,Блок індивідуального податкового номера
**Відхилив**, , ,"До заповнення реквізитами компанії, що відхиляє документ (завершення блоку)"
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,M,Рядок (20),"Допустимі значення:
Юридична;
Фізична "
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер контрагента
СвідоцтвоПДВ,O,Integer (10),Свідоцтво ПДВ контрагента
МФО,O,Integer (6),МФО банку контрагента
ПоточРах,O,Рядок ,Поточний рахунок контрагента
IBAN,O,Рядок (35),IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках) 
Банк, , ,Банк контрагента
Телефон,O,Рядок (20),Телефон
GUID,O,Рядок (36),Глобальний унікальний ідентифікатор (GUID) контрагента  
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
ВОсобіДиректора, , ,Директор
**ЮрАдреса**,O, ,Юридична адреса контрагента (початок блоку)
Індекс,M,Integer (5),Індекс
Область,O,Рядок (50),Область
Місто,M,Рядок (50),Місто
Вулиця,M,Рядок (50),Вулиця
**ЮрАдреса**, , ,Юридична адреса контрагента (завершення блоку) 
**ФактАдреса**,O, ,Фактична адреса контрагента (початок блоку)
Індекс,M,Integer (5),Індекс
Область,O,Рядок (50),Область
Місто,M,Рядок (50),Місто
Вулиця,M,Рядок (50),Вулиця
**ФактАдреса**, , ,Фактична адреса контрагента (завершення блоку) 
**ПоштАдреса**,O, ,Поштова адреса контрагента (початок блоку)
Індекс,M,Integer (5),Індекс
Область,O,Рядок (50),Область
Місто,M,Рядок (50),Місто
Вулиця,M,Рядок (50),Вулиця
**ПоштАдреса**, , ,Поштова адреса контрагента (завершення блоку)
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**МісцеДоставки**,O, ,Місце доставки (початок блоку)
GLN,O,Integer (13),Глобальний номер розташування (GLN) місця доставки
Індекс,O,Integer (5),Індекс
Область,O,Рядок (50),Область
Місто,O,Рядок (50),Місто
Вулиця,O,Рядок (50),Вулиця
**МісцеДоставки**, , ,Місце доставки (завершення блоку)
**Параметри**,O, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до специфікації"
Параметр,O,Рядок (50),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**Параметри**,O, ,Параметри (завершення блоку)
