Назва поля, Тип, Формат, Опис
**DESSCC**,,, Початок документа
NUMBER, М, Рядок (16), Номер документа
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
DELIVERYDATE, О, Дата (РРРР-ММ-ДД), Дата доставки
DELIVERYTIME, О, Час (год: хв), Час доставки
ORDERNUMBER, О, Рядок (16), Номер замовлення
ORDERDATE, О, Дата (РРРР-ММ-ДД), Дата замовлення
DELIVERYNOTENUMBER, М, Рядок (16), Номер накладної
DELIVERYNOTEDATE, О, Дата (РРРР-ММ-ДД), Дата накладної
CAMPAIGNNUMBER, О, Рядок (16), Номер договору на поставку
TRANSPORTID, O, Рядок (70), Номер транспортного засобу
TRANSPORTMARK, O, Рядок (70), Марка машини
TRANSPORTERNAME, O, Рядок (70), Ім'я водія
SELFSHIPMENT,,,"Самовивіз; можливі значення: 0 -Ні, 1 - Так"
**HEAD**,,, Початок основного блоку
SUPPLIER, О, Число (13), Постачальник
BUYER, О, Число (13), Покупець
DELIVERYPLACE, M, Число (13), Місце доставки (РЦ)
SENDER, M, Число (13), Відправник
RECIPIENT, M, Число (13), Одержувач
EDIINTERCHANGEID, O, Рядок (70), Номер транзакції
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (початок блоку)
HIERARCHICALID, М, Число позитивне, Порядковий номер палети
SSCC, М,"Число (14, 18)", Штрихкод транспортної упаковки
LOCATION, М, Число (13), Місце доставки упаковки
DOCNUMBER, M, Рядок (16), Номер документа
DOCDATE, M, Дата (РРРР-ММ-ДД), Дата документа
VOLUME, O, Число позитивне, Об'єм
WEIGHT, O, Число десяткове, Вага
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, М, Число позитивне, Номер позиції
PRODUCT, М,"Число (8, 10, 14)", Штрихкод продукту
PRODUCTIDBUYER, О, Рядок (35), Артикул в БД покупця
DELIVEREDQUANTITY, М, Число позитивне,"Кількість, що поставляється"
ORDEREDQUANTITY, О, Рядок (3), Замовлена кількість
DESCRIPTION, О, Рядок (70), Опис продукту
COUNTRYORIGIN, О, Рядок (2), Країна виробник (для імпортного товару)
CUSTOMSTARIFFNUMBER, О, Рядок (35), Номер державної митної декларації (ВМД)
QUANTITYOFCUINTU, O, Число позитивне, Кількість в упаковці
PRICE, O, Число десяткове, Ціна продукту
VAT, O, Число позитивне,"Ставка ПДВ,%"
UNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
DELIVEREDUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
PRODUCTIDSUPPLIER, О, Рядок (35), Артикул в БД постачальника
BOTTLINGDATE, О, Дата (РРРР-ММ-ДД), Дата розливу
**POSITION**,,, Товарні позиції (закінчення блоку)
**PACKINGSEQUENCE**,,, Робота з товарними позиціями (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**DESSCC**,,, Закінчення документа
