Назва поля, Тип, Формат, Опис
**STATUS**,,, Початок документа
EXITEICID, М, Рядок (14), Номер транзакції EDI Network
CUSTOMERICID, М, Рядок (14), Номер документа постачальника
VERSION, O, Число десяткове, Версія замовлення транспорту
FROM, М, Число (13),"GLN одержувача повідомлення (SENDER повідомлення, по котрому йде статус)"
TO, M, Число (13),"GLN відправника повідомлення (RECIPIENT повідомлення, по котрому йде статус)"
DELIVERYPLACE, M, Число (13),"GLN точки доставки (DELIVERYPLACE повідомлення, по котрому йде статус)"
DATE, O, Дата (РРРР-ММ-ДД), Дата надходження на платформу EDI Network
STATUS,М,Число (1),"Статус повідомлення:
0 - доставлено на платформу EDI Network;
1 - повідомлення прочитано одержувачем;
2 - помилка обробки документа;
Для зворотних статусів (від РМ):
3 - документ отриманий мережею;
4 - помилка обробки документа на стороні мережі;
6 - відправляється ТМ АТБ на свій IFTMBF інтегровано (для IFTMBС)"
DOCNUMBER,O,Рядок (16),Номер документа
DESCRIPTION,O,Рядок (70),Опис
DATEIN, М, Дата (РРРР-ММ-ДД), Дата надходження на платформу EDI Network
TIMEIN, М, Час (чч: мм: сс), Час надходження на платформу EDI Network
DATEOUT, О, Дата (РРРР-ММ-ДД), Дата прочитання документа одержувачем
TIMEOUT, О, Час (чч: мм: сс), Час прочитання документа одержувачем
SIZEINBYTES, М, Число позитивне, Розмір документа в байтах
MESSAGECLASS, М, Рядок (6),"Клас повідомлення: ORDER, ORDRSP, DESADV, RECADV, INVOICE, IFTMBF, DECLAR, DECLARJ12"
STATUSONFILENAME, М,,"ім'я файлу, на який отримано статус"
**STATUS**,,, Закінчення документа
