Назва поля, Тип, Формат, Опис
**PRICAT**,,, Початок документа
ACTION, M,"« 9 »,« 13 »,« 51 »,« 21 »,« 99 »","Тип документа: 9 - прайс-лист (повний), 13 - запит прайс-листа, 51 - відповідь на прайс-лист, 21 - доповнення існуючого прайс-листа, 99 - відмова на прайс-лист "
NUMBER, M, Рядок (16), Номер документа
DATE, M, Дата (РРРР-ММ-ДД), Дата документа
DATEFROM, O, Дата (РРРР-ММ-ДД), Вступає в силу з дати
DATETO, O, Дата (РРРР-ММ-ДД),	Дата закінчення дії прайс-листа
TIMEFROM, O, Час (год: хв), Вступає в силу з часу
TIMETO, O, Час (год: хв), Час закінчення дії прайс-листа
CAMPAIGNNUMBER, O, Рядок (35), Номер договору на поставку
PRICATINFO, O, Рядок (75), Вільний текст
ORDERCONTACT,,, Контактна інформація
VAT, O, Число позитивне,"Ставка ПДВ,%"
CURRENCY, O, Рядок (3),"Тризначний код валюти (наприклад, UAH, RUB, USD, EUR, MDL, BYR)"
**STOREACTION**,,,"Дія для магазину (для ТМ Караван) - початок блоку"
STOREGLN,,, GLN магазину дії прайс-листа
**STOREACTION**,,,"Дія для магазину (для ТМ Караван) - закінчення блоку"
SUPPLIER, M, Число (13), GLN постачальника
BUYER, M, Число (13), GLN покупця
SENDER, M, Число (13), GLN відправника
RECIPIENT, M, Число (13), GLN одержувача
EDIINTERCHANGEID, O, Рядок (70),"Номер транзакції (Унікальний номер, що генерується відправником)"
**CATALOGUE**,,, Каталог (початок блоку)
**POSITION**,,, Товарні позиції (початок блоку)
POSITIONNUMBER, M, Число позитивне,"Номер товарної позиції (Порядковий номер товарної позиції в документі (1, 2, 3, 4 ... n))"
ACTION, M,"« 2 »,« 3 »,« 4 »,« 27 »,« 29 »","Необхідна дія:
2 - додавання нових позицій,
3 - видалення,
4 - зміна,
27 - прийнято,
29 - не прийнято "
ITEMAVAILABLE, O (M-для Розетка), Так / Ні, "Доступність товару до замовлення: 0 - немає, 1 - так"
PRODUCT, M,"Число (8, 10, 14)", Штрих-код продукту
PRODUCTGROUPCODE, O, Число (4), Код групи товару
IDSUPPLIER, O (M-для Розетка), Рядок (16), Артикул в БД постачальника
IDBUYER, О, Рядок (16), Артикул в БД покупця
MINORDERQUANTITY, O (M-для Розетка), Число позитивне, Мінімальна кількість у замовленні
MINORDERQUANTITYUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
MAXORDERQUANTITY, O, Число позитивне, Максимальна кількість в замовленні
MAXORDERQUANTITYUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
QUANTITYOFCUINTU, O, Число позитивне, Кількість в упаковці
QUANTITYOFCUINTUUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
IDNATIONAL, O, Рядок (35), Код товару за національним класифікатором (код УКТЗЕД)
IDINTERNATIONAL, O, Рядок (35), Код товару за міжнародним класифікатором
IDGPC, O, Рядок (35), Код продукту відповідає Global Product Classification
REPLACEPRODUCT, O,"Число (8, 10, 14)", Продукт для заміни
