Назва поля, Тип, Формат, Опис
**PARTIN**,,, Початок документа
NUMBER, M, Рядок (16), Номер документа
DATE, M, Дата (РРРР-ММ-ДД), Дата
CONTRACTNUMBER, M, Рядок (70), Номер договору
CONTRACTDATE, M, Дата (РРРР-ММ-ДД), Дата договору
**HEAD**,,, Початок основного блоку
BUYER, M, Число (13), GLN покупця
SUPPLIER, M, Число (13), GLN постачальника
SENDER, M, Число (13), GLN відправника
RECIPIENT, M, Число (13), GLN одержувача
**COMPANIES**,,, Компанії (початок блоку)
PARTYQUALIFIER, M, Рядок (35), Фізична адреса магазину. Значення тільки DP
COMPANY, M, Число (13), GLN магазину
NAME, M, Рядок (35), Назва магазину
STREET, M, Рядок (35), Вулиця
BUILDING, M, Рядок (8), Номер будівлі
SECONDBUILDING, O, Рядок (8), Номер другої будівлі (якщо компанія займає кілька будівель)
FLATNUMBER, M, Рядок (8), Номер офісу
CITY, M, Рядок (2), Місто
ZIPCODE, M, Рядок (35), Індекс
COUNTRYCODE, M, Рядок (2), двозначний код країни
FISCALNUMBER, M, Рядок (35), ІПН
REGISTRATIONNUMBER, M, Рядок (35), Код ЄДРПОУ
RCEO, M, Рядок (35), ЗКПО
OKVD, M, Рядок (35), Код КОАТУУ
**CONTACTS**,,, Контакти магазину (початок блоку)
CONTACTCODE, M, Рядок (2),"ОС - менеджер, SA - директор"
NAME, M, Рядок (35), ПІБ
EMAIL, M, Рядок (35), Електронна пошта
FAX, O, Рядок (35), Факс
TELEPHONE, M, Рядок (35), Телефон
ADDITIONALNUMBER, O, Рядок (35), Додатковий номер
MOBILENUMBER, O, Рядок (35), Мобільний номер
WWW, O, Рядок (70), Сайт
**CONTACTS**,,, Контакти магазину (закінчення блоку)
**COMPANIES**,,, Компанії (закінчення блоку)
**HEAD**,,, Закінчення основного блоку
**PARTIN**,,, Закінчення документа
