Назва поля,Тип [1]_,Формат,Опис
**ЕлектроннийДокумент**,M, ,Початок документу
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,M,Рядок (16),Номер документу
ТипДокументу,M,Рядок (50),"Тип документу: Звіт комітенту по еквайрингу"
КодТипуДокументу,M,«024»,"Допустиме значення: 024 => Звіт комітенту по еквайрингу (`всі підтипи COMDOC <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/EveryBody/ExtraQueryParameters_fieldName_sub_doc_type_id.html>`__)"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ТермінДії**,O,Кількість входжень вузла: Min = 0; Max = 1,"Термін, на період якого документ вважається чинним (початок блоку)"
Початок,M,Дата (РРРР-ММ-ДД),Дата початку дії документу
Кінець,M,Дата (РРРР-ММ-ДД),Дата закінчення терміну дії документу
**ТермінДії**, , ,"Термін, на період якого документ вважається чинним (завершення блоку)"
МісцеСкладання,O,Рядок (255),Місце складання документу
**ДокПідстава**,O,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,M,Рядок (30),Номер документу-підстави
ТипДокументу,M,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,M,«001» / «002» / «003» ...,`Код типу документу <https://wiki.edin.ua/uk/latest/XML/code_doctype.html>`__
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,M,Рядок (20),"Допустимі значення:
Юридична
Фізична "
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер контрагента
МФО,O,Integer (6),МФО банку контрагента
ПоточРах,O,Рядок ,Поточний рахунок контрагента 
IBAN,O,Рядок (35),IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,O,Рядок (20),Телефон
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**ЮрАдреса**,O, ,Юридична адреса контрагента (початок блоку)
Індекс,M,Integer (5),Індекс
Місто,M,Рядок (50),Місто
Вулиця,M,Рядок (50),Вулиця
**ЮрАдреса**, , ,Юридична адреса контрагента (завершення блоку)
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**Параметри**,O, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до основних полей специфікації"
"<Параметр ІД=«1» назва=«ПроцентЭквайринга»>1.657</Параметр>",O,Рядок (250),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=1 вказується відсоток еквайрингу. Максимальна кількість тегів – 99."
"<Параметр ІД=«2» назва=«ОбъемБезналРеализации»>6150</Параметр>",O,Рядок (250),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=2 вказується об'єм безготівкової реалізації. Максимальна кількість тегів – 99."
"<Параметр ІД=«3» назва=«БанкКомітента»>ПАТ «ПУМБ», м.Київ, ТОВ «ЦУМ БЬЮТІ» (грн)</Параметр>",O,Рядок (250),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=3 вказуються дані банка комітента. Максимальна кількість тегів – 99."
"<Параметр ІД=«4» назва=«БанкКомісіонера»>ПАТ «ТАСКОМБАНК», м.Київ (UAH)</Параметр>",O,Рядок (250),"Додаткові параметри. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю. Для ІД=4 вказується вказуються дані банка комісіонера. Максимальна кількість тегів – 99."
**Параметри**, , ,Параметри (завершення блоку)
**Таблиця**,O,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,M,Integer (3),Номер позиції
Штрихкод,O,Рядок (13),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
АртикулПокупця,O,Рядок (10),Артикул покупця
Найменування,M,Рядок (50),Найменування товарної позиції
ПрийнятаКількість,O,Decimal (#.000),Прийнята кількість товарних позицій
ОдиницяВиміру,O,Рядок (10),Одиниці виміру [2]_
БазоваЦіна,O,Decimal (#.00),Ціна за одиницю без ПДВ
ПДВ,O,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
Ціна,O,Decimal (#.00),Ціна за одиницю з ПДВ
**ВсьогоПоРядку**,O,Кількість входжень вузла: Min = 0; Max = 1,Загальна сума по рядку (початок блоку)
СумаБезПДВ,O,Decimal (#.00),Сума без ПДВ
СумаПДВ,O,Decimal (#.00),Сума ПДВ
Сума,O,Decimal (#.00),Сума
**ВсьогоПоРядку**, , ,Загальна сума по рядку (завершення блоку)
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ВсьогоПоДокументу**,O, ,Сумарні значення позицій за документом (початок блоку)
СумаБезПДВ,O,Decimal (#.00),Сума без ПДВ
ПДВ,O,Decimal (#.00),Сума ПДВ
Сума,O,Decimal (#.00),Сума	 
**ВсьогоПоДокументу**,O, ,Сумарні значення позицій за документом (завершення блоку)
**ЕлектроннийДокумент**,O, ,Завершення документу
