Назва поля,Тип [1]_,Формат,Опис
**Document-Invoice**,,, Початок документа
**Invoice-Header**, М,, Початок основного блоку
InvoiceNumber, М, Рядок (16), Номер видаткової накладної
InvoiceDate, М, Дата (РРРР-ММ-ДД), Дата накладної
DocumentFunctionCode, М, DRN, Код документа (константа)
ContractNumber, M, Рядок (35), Номер договору
ContractDate, М, Дата (РРРР-ММ-ДД), Дата договору
InvoiceCurrency, O, Рядок (3), валюта
InvoicePostDate, O, Дата (РРРР-ММ-ДД), дата відправки
InvoicePostTime, O, Час (год: хв), час відправки
**Invoice-Header**, M,, Закінчення основного блоку
**Invoice-Reference**, M,, Підстава (початок блоку)
**Order**, M,, Замовлення (початок блоку)
BuyerOrderNumber, M, Рядок (35), Номер замовлення
BuyerOrderDate, M, Дата (РРРР-ММ-ДД), Дата замовлення
**Order**,,, Замовлення (закінчення блоку)
**TaxInvoice**, O,, Податкова накладна (початок блоку)
TaxInvoiceNumber, O, Рядок (35), номер податкової накладної
TaxInvoiceDate, O, Дата (РРРР-ММ-ДД), дата податкової накладної (повинна збігатися з датою товарною накладною)
**TaxInvoice**,,, Податкова накладна (закінчення блоку)
**DespatchAdvice**, O,, Повідомлення про відвантаження (початок блоку)
DespatchAdviceNumber, O, Рядок (16), Номер повідомлення про відвантаження
**DespatchAdvice**,,, Повідомлення про відвантаження (закінчення блоку)
**ReceivingAdvice**,,, Повідомлення про прийом (початок блоку)
ReceivingAdviceNumber, O, Рядок (16),"Номер повідомлення про прийом (RECADV). У разі коригування повернення, має бути вказаний номер акта на повернення"
DeliveryDate, O, Дата (РРРР-ММ-ДД),"Дата приймання. В разі коригування повернення, має бути вказана дата акту на повернення"
**ReceivingAdvice**,,, Повідомлення про прийом (закінчення блоку)
**Invoice-Reference**,,, Підстава (закінчення блоку)
**Invoice-Parties**,,, Блок контрагентів (початок)
**Buyer**,M,, Блок покупця (початок)
ILN, М, Число (13), GLN покупця
TaxID, М, Число (12), Податковий ідентифікаційний номер покупця
UtilizationRegisterNumber, М,"Число(8,10)", ЄДРПОУ покупця
Name, М, Рядок (175), назва покупця
StreetAndNumber, М, Рядок (35), вулиця і номер будинку покупця
CityName, М, Рядок (35), місто покупця
PostalCode, М, Рядок (9), поштовий код покупця
Country, O, Рядок (3), код країни покупця (код ISO 3166)
PhoneNumber, М, Рядок (35), телефон покупця
**Buyer**,,, Блок покупця (закінчення)
**Seller**,M,, Блок продавця (початок)
ILN, М, Число (13), GLN продавця
TaxID, М, Число (12), Податковий ідентифікаційний номер продавця
CodeByBuyer, М, Рядок (35), номер договору на поставку
UtilizationRegisterNumber, М,"Число(8,10)", ЄДРПОУ продавця
Name, М, Рядок (175), назва продавця
StreetAndNumber, М, Рядок (140), вулиця і номер будинку продавця
CityName, М, Рядок (35), місто продавця
PostalCode, М, Рядок (9), поштовий код продавця
Country, O, Рядок (3), код країни продавця (код ISO 3166)
PhoneNumber, М, Рядок (35), телефон продавця
IBAN, O,"UA + NN + 351005 + XXXXXXXXXXXXXXXXXXX

UA — (2 літери) — код країни (ГОСТ ISO 3166-1);

NN — (2 цифри) — контрольне число;

351005 — (6 цифр) — МФО;

XXX...XXX — (19 цифр) — рахунок клієнта.",IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
**Seller**,,, Блок продавця (закінчення)
**DeliveryPoint**, M,, Точка доставки (початок)
ILN, М, Число (13), GLN точки доставки (МЕТРО)
Name, O, Рядок (175), назва продавця
StreetAndNumber, M, Рядок (140), вулиця і номер будинку продавця
CityName, М, Рядок (35), місто продавця
PostalCode, O, Рядок (9), поштовий код продавця
**DeliveryPoint**,,, Точка доставки (закінчення)
**Invoice-Parties**,,, Блок контрагентів (закінчення)
**Invoice-Lines**,,, Рядки ТН (початок блоку)
**Line**,,, Рядок (початок блоку)
**Line-Item**,,, Позиція (початок блоку)
LineNumber, М, Ціле число, номер позиції в табличній частині
EAN, М, Число (14), Штрих-код продукту
BuyerItemCode, M, Рядок (16), "Артикул в БД покупця"
ExternalItemCode, M, Рядок (4-10), код товару згідно з довідника УКТ ЗЕД
ItemDescription, М, Рядок (210), Опис товару
InvoiceQuantity, M, Число позитивне, Замовлена ​​кількість (кількість товару за накладною)
BuyerUnitOfMeasure, M, Рядок (10),"Одиниці виміру [2]_"
UnitOfMeasure, О, Рядок (10),"Одиниці виміру [2]_"
InvoiceUnitGrossPrice,M,"Decimal (18,2)",Ціна однієї одиниці з ПДВ
InvoiceUnitNetPrice, M, Число позитивне, Ціна однієї одиниці без ПДВ
TaxRate, M, 20/19/16/14/7/2/0,"Ставка ПДВ (20%, 19%, 16%, 14%, 7%, 2%, 0%)"
TaxCategoryCode, M, S / E / Z,"Код категорії податку:

* S - стандартний податок; можливі значення TaxRate: 20/19/16/14/7/2 (інакше помилка)
* E - звільнений від сплати податку; можливі значення TaxRate=0 (інакше помилка)
* Z - нульова ставка (0%); можливі значення TaxRate=0 (інакше помилка)"
GrossAmount,M,"Decimal (18,2)", Сума з ПДВ
TaxAmount, M, Число позитивне, Сума ПДВ по артикулу = сума сум без ПДВ по артикулах * ставку (округляється до 2 знаків)
NetAmount, M, Число позитивне, Всього без ПДВ (обчислюється)
**Line-Item**,,, Позиція (закінчення блоку)
**Line**,,, Рядок (закінчення блоку)
**Invoice-Lines**,,, Рядки ТН (закінчення блоку)
**Invoice-Summary**,,, Підсумки (початок блоку)
TotalLines, M, Ціле число, Кількість рядків в документі
TotalNetAmount, M, Число позитивне, Загальна сума без ПДВ
TotalTaxAmount, M, Число позитивне, Сума ПДВ
TotalGrossAmount, M, Число позитивне, Загальна сума з ПДВ
**Invoice-Summary**,,, Підсумки (закінчення блоку)
**Document-Invoice**,,, Закінчення документа
