Назва поля,Тип [1]_,Формат,Опис
**ЕлектроннийДокумент**,M, ,Початок документу
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерМаркетингДоговору,O,Рядок (16),Номер маркетингового договору
ДатаМаркетингДоговору,O,Дата (РРРР-ММ-ДД),Дата маркетингового договору
НазваАкції,O,Рядок (255),Назва акції
ОплатаЗаАктиваціюАкції,O,"Число (1, 2 чи 3)","Оплата за активаціїю акції:

* 1 - «Безкоштовно»,
* 2 - «З маркетингового бюджету»,
* 3 - «Окремий рахунок»"
ОплатаЗаКомпенсацію,O,Число (1 чи 2),"Оплата за компенсацию:

* 1 - «З маркетингового бюджету»,
* 2 - «Окремий рахунок»"
НомерДокументу,M,Рядок (16),Номер документу
ТипДокументу,M,Рядок (50),"Тип документу: Товарна специфікація"
ТипСхеми,O,0 чи 1,0 - стандартна схема (з попереднім узгодженням); 1 - нестандартна схема (без попереднього узгодження)
КодТипуДокументу,M,«008»,"Допустиме значення: 008 => Товарна специфікація (`всі підтипи COMDOC <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/EveryBody/ExtraQueryParameters_fieldName_sub_doc_type_id.html>`__)"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ТермінДії**,O,Кількість входжень вузла: Min = 0; Max = 1,"Термін, на період якого документ вважається чинним (початок блоку)"
Початок,M,Дата (РРРР-ММ-ДД),Дата початку дії документу
Кінець,M,Дата (РРРР-ММ-ДД),Дата закінчення терміну дії документу
**ТермінДії**, , ,"Термін, на період якого документ вважається чинним (завершення блоку)"
НомерЗамовлення,O,Рядок (20),Номер замовлення за документом
ДатаЗамовлення,O,Дата (РРРР-ММ-ДД),Дата здійснення замовлення
МісцеСкладання,O,Рядок (255),Місце укладання документу
**ДокПідстава**,O,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,M,Рядок (30),Номер документу-підстави
ТипДокументу,M,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,M,«001» / «002» / «003» ...,`Код типу документу <https://wiki.edin.ua/uk/latest/XML/code_doctype.html>`__
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення:

* Покупець;
* Отримувач; 
* Продавець; 
* Замовник; 
* Виконавець;
* Перевізник;
* Платник;
* Підрядник;
* Відправник;
* Вантажоодержувач;
* Вантажовідправник;
* Експедитор;
* Клієнт;
* Консультант"
КонтактнаОсоба,O,Рядок (255),"Відповідальна особа (ПІБ, контакти постачальника)"
ВидОсоби,M,Рядок (20),"Допустимі значення:

* Юридична
* Фізична"
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер контрагента
IBAN,O,Рядок (35),IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,O,Рядок (20),Телефон
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**Параметри**,O, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до специфікації"
Параметр,O,Рядок (50),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**Параметри**,O, ,Параметри (завершення блоку)
**Таблиця**,O,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
ПроцентКомпенсації,O,"Позитивне число з плаваючою точкою (6 знаків до коми, 2 знака після коми)",Процент компенсації
СумаЗаАктиваціюАкції,O,"Позитивне число з плаваючою точкою (6 знаків до коми, 4 знака після коми)",Сума за активацію акції
РекомендованаРоздрібнаЦінаЗПДВ,O,"Позитивне число з плаваючою точкою (6 знаків до коми, 4 знака після коми)",Рекомендована роздрібна ціна з ПДВ
НомПоз,M,Integer (3),Номер позиції
Штрихкод,O,Рядок (13),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
АртикулПокупця,O,Рядок (10),Артикул покупця
АртикулПродавця,O,Рядок (10),Артикул продавця
Найменування,M,Рядок (50),Найменування товарної позиції
ПрийнятаКількість,O,Decimal (#.000),Прийнята кількість товарних позицій
ОдиницяВиміру,O,Рядок (10),Одиниці виміру [2]_
Гарантія,O,Рядок (30),Гарантійний термін
**ВсьогоПоРядку**,O,Кількість входжень вузла: Min = 0; Max = 1,Загальна сума по рядку (початок блоку)
СумаБезПДВ,O,Decimal (#.00),Сума без ПДВ
СумаПДВ,O,Decimal (#.00),Сума ПДВ
Сума,O,Decimal (#.00),Сума
**ВсьогоПоРядку**, , ,Загальна сума по рядку (завершення блоку)
**ЦінаРегулярна**,O, ,Регулярна ціна (початок блоку)
ЦінаБезПДВ, , ,Ціна без ПДВ
ЦінаЗПДВ, , ,Ціна з ПДВ
**ЦінаРегулярна**, , ,Регулярна ціна (завершення блоку)
СтавкаПДВ, , ,Ставка податку на додану вартість
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ВсьогоПоДокументу**, , ,Підсумкові значення за документом (початок блоку)
СумаБезПДВ,O,Decimal (#.00),Сума без ПДВ по документу  
ПДВ,O,Decimal (#.00),Сума ПДВ по документу
Сума,O,Decimal (#.00),Сума по документу
**ВсьогоПоДокументу**, , ,Підсумкові значення за документом (завершення блоку)
**ЕлектроннийДокумент**,O, ,Завершення документу
