Назва поля,Тип [1]_,Формат,Опис
**ЕлектроннийДокумент**,M, ,Початок документу
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,M,Рядок (16),Номер документу
ТипДокументу,M,Рядок (50),"Тип документу: Специфікація послуг перевізника"
КодТипуДокументу,M,«023»,"Допустиме значення: 023 => Специфікація послуг перевізника (`всі підтипи COMDOC <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/EveryBody/ExtraQueryParameters_fieldName_sub_doc_type_id.html>`__)"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**,O,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,M,Рядок (30),Номер документу-підстави
ТипДокументу,M,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,M,«001» / «002» / «003» ...,`Код типу документу <https://wiki.edin.ua/uk/latest/XML/code_doctype.html>`__
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,M,Рядок (20),"Допустимі значення:
Юридична
Фізична "
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,M,Рядок (12),Індивідуальний податковий номер контрагента
МФО,O,Integer (6),МФО банку контрагента
ПоточРах,O,Рядок ,Поточний рахунок контрагента
IBAN,O,Рядок (35),IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,O,Рядок (20),Телефон
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**Таблиця**,O,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,M,Integer (3),Номер позиції
Найменування,M,Рядок (50),Найменування товарної позиції
Номер,O, ,Номер
Дата,O,Дата (РРРР-ММ-ДД),Дата
МаршрутВідправлено, , ,"Пункт відправлення товару
(Для COMDOC 023 пункти ""Відправлено"" і ""Отримано"" заповнюються в одній клітинці ""Маршрут"")"
МаршрутОтримано, , ,"Пункт отримання товару
(Для COMDOC 023 пункти ""Відправлено"" і ""Отримано"" заповнюються в одній клітинці ""Маршрут"")"
Кількість,M,Decimal (#.00),Кількість одиниць товару 
Вага,O, ,Вага 
Сума,O,Decimal (#.00),Сума вартості товару 
СумаСтрахування,O, ,Сума страхування 
Платник,O, ,ПІБ платника 
Відправник,O, ,ПІБ відправника 
Отримувач,O, ,ПІБ отримувача 
АдресаДоставки,O, ,Адреса доставки
ЗонаДоставки,O, ,Зона доставки
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ВсьогоПоДокументу**,O,Сумарні значення позицій за документом (початок блоку),
Сума,O,Decimal (#.00),Сума
**ВсьогоПоДокументу**,O, ,Сумарні значення позицій за документом (завершення блоку)
**ЕлектроннийДокумент**,O, ,Завершення документу
