Назва поля,Тип [1]_,Формат,Опис
**ЕлектроннийДокумент**,M, ,Початок документу
**Заголовок**,M,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,M,Рядок (16),Номер документу
ТипДокументу,M,Рядок (50),"Тип документу: Акт про виявлені недоліки"
КодТипуДокументу,M,«005»,"Допустиме значення: 005 => Акт про виявлені недоліки (`всі підтипи COMDOC <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/EveryBody/ExtraQueryParameters_fieldName_sub_doc_type_id.html>`__)"
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
МісцеСкладання,O,Рядок (255),Місце складання документу
**ДокПідстава**,O,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,M,Рядок (30),Номер документу-підстави
ТипДокументу,M,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,M,«001» / «002» / «003» ...,`Код типу документу <https://wiki.edin.ua/uk/latest/XML/code_doctype.html>`__
ДатаДокументу,M,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,M,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,M,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,M,Рядок (20),"Допустимі значення:
Юридична;
Фізична "
НазваКонтрагента,M,Рядок (50),Назва контрагента
КодКонтрагента,M,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
**ІПН**, , ,Блок індивідуального податкового номера
СвідоцтвоПДВ,O,Integer (10),Свідоцтво платника ПДВ (податку на додану вартість)
IBAN,O,Рядок (35),IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**МісцеДоставки**,O, ,Місце доставки (початок блоку)
GLN,O,Integer (13),Глобальний номер розташування (GLN) місця доставки
Індекс,O,Integer (5),Індекс
Область,O,Рядок (50),Область
Місто,O,Рядок (50),Місто
Вулиця,O,Рядок (50),Вулиця
**МісцеДоставки**, , ,Місце доставки (завершення блоку)
**Парамети**,O, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до специфікації"
Параметр,O,Рядок (50),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**Парамети**,O, ,Параметри (завершення блоку)
**Таблиця**,O,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,M,Integer (3),Номер позиції
Штрихкод,O,Рядок (13),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
АртикулПокупця,O,Рядок (10),Артикул покупця
Найменування,M,Рядок (50),Найменування товарної позиції
ПрийнятаКількість,O,Decimal (#.000),Прийнята кількість товарних позицій 
ОдиницяВиміру,O,Рядок (10),Одиниці виміру [2]_
БазоваЦіна,O,Decimal (#.00),Ціна за одиницю без ПДВ
ПДВ,O,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
Ціна,O,Decimal (#.00),Ціна за одиницю з ПДВ
**ВсьогоПоРядку**,O,Кількість входжень вузла: Min = 0; Max = 1,Загальна сума по рядку (початок блоку)
СумаБезПДВ,O,Decimal (#.00),Сума без ПДВ
СумаПДВ,O,Decimal (#.00),Сума ПДВ
Сума,O,Decimal (#.00),Сума
**ВсьогоПоРядку**, , ,Загальна сума по рядку (завершення блоку)
**Причина**,O,Кількість входжень вузла: Min = 0; Max = 1,Причина для повернення (початок блоку)
Код,M,Integer (3),"Код причини повернення:
1-Зіпсований;
2- Брак;
3- Бій;
4- Невідповідність ціни;
5- Відсутність в замовленні;
6- Недовіз;
7- Без документів;
8- Пересорт;
9- Невідповідність штрих-коду;
10- Відсутність в БД;
11- Нетоварний вигляд;
12- Бомбаж;
13- Розвакуумація;
14- Понад заказу;
15- Невідповідність назви;
16- Невідповідність грамовки;
17- Відсутність сертифікатів;
18- Відсутність терміну придатності;
19- Відсутність ветеринарного свідоцтва;
20- Відсутність акцизних марок;
21- Відсутність інформаціі для покупців;
22- Відсутність рекомендованої ціни на тютюнових виробах;
23- Відсутність дати виготовлення;
24- Відсутність кінцевого терміну реалізації;
25- Надлишки;
26- Малий термін;
27- Протерміновано;
28- Лог дані;
29- Паллетизация"
Опис,O,Рядок (50),Найменування причини повернення
Кількість,M,Decimal (#.00),Кількість товарних одиниць до повернення
ОдиницяВиміру,  ,Рядок (10),"Одиниці виміру:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;     г. – грам;"
НаСуму,O, ,Сумарна вартість товару до повернення
**Причина**, , ,Причина для повернення (завершення блоку)
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ВсьогоПоДокументу**,O,Сумарні значення позицій за документом (початок блоку), 
СумаБезПДВ,O,Decimal (#.00),Сума без ПДВ
ПДВ,O,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
Сума,O,Decimal (#.00),Сума	 
**ВсьогоПоДокументу**,O, ,Сумарні значення позицій за документом (завершення блоку)
**ЕлектроннийДокумент**,O, ,Завершення документу
