Код помилки,Опис,Рекомендовані дії
500,Не класифікована помилка,"У випадку, якщо Ви отримали у тілі відповіді подібний текст “Internal Server Error. Channel ID: 45b696af”, то зверніться за допомогою до нашої `тех. підтримки <mailto:support@edin.ua>`__. Якщо Ви отримали інший текст помилки, то прочитайте її і спробуйте зрозуміти. В багатьох випадках, проблема буде описана."
502,Сервер не відповідає,"Перевірте ваше інтернет з’єднання. Якщо все гаразд, то спробуйте повторити раніше надісланий запит."
504,Тайм-аут отримання відповіді з сервера,"У випадку надсилання запиту, що змінює дані (наприклад, підписання документа) ми рекомендуємо перевіряти виконання попереднього запиту (наприклад, чи був доданий підпис). З затримкою в 5 секунд надішліть запит для перевірки виконання Вашого попереднього запиту. Якщо Ваш попередній запит не виконався з будь-яких причин, повторіть його."
520,Сервісна помилка,"Запит не був опрацьований нашими серверами. З затримкою в 5 секунд, повторіть Ваш запит."
521,Сервісна помилка,"Запит не був опрацьований нашими серверами. З затримкою в 5 секунд, повторіть Ваш запит."
522,Сервісна помилка,"Запит не був опрацьований нашими серверами. З затримкою в 5 секунд, повторіть Ваш запит."
523,Сервісна помилка,"Запит не був опрацьований нашими серверами. З затримкою в 5 секунд, повторіть Ваш запит."
524,Сервісна помилка,"Запит не був опрацьований нашими серверами. З затримкою в 5 секунд, повторіть Ваш запит."
525,Сервісна помилка,"Запит не був опрацьований нашими серверами. З затримкою в 5 секунд, повторіть Ваш запит."
526,Сервісна помилка,"Запит не був опрацьований нашими серверами. З затримкою в 5 секунд, повторіть Ваш запит."
