Назва поля, Тип [1]_, Формат, Опис
**DESADV**,,, Початок документа
NUMBER, М, Рядок (50), Номер повідомлення про відвантаження
DATE, М, Дата (РРРР-ММ-ДД), Дата документа
VERSION, О, Ціле позитивне число, "Версія документа (на рівні одного ланцюжка документів). При заміні документа (номер документа зберігається) потрібно збільшувати значення на одиницю (n+1)"
ORDERNUMBER, M, Рядок (50), Номер замовлення
ORDERDATE, M, Дата (РРРР-ММ-ДД), Дата замовлення
ORDRSPNUMBER, О, Рядок (16), Номер підтвердження замовлення
ORDRSPDATE, О, Дата (РРРР-ММ-ДД), Дата підтвердження замовлення
CAMPAIGNNUMBER, О, Рядок (70), Номер договору на постачання
SUPPLIER, М, Число (13), GLN постачальника
BUYER, М, Число (13), GLN покупця
SENDER, М, Число (13), GLN відправника повідомлення
RECIPIENT, М, Число (13), GLN одержувача повідомлення
DELIVERYDATE, М, Дата (РРРР-ММ-ДД), Дата постачання
DELIVERYNOTENUMBER, М, Рядок (16), Номер накладної
DELIVERYNOTEDATE, М, Дата (РРРР-ММ-ДД), Дата накладної
WAYBILLNUMBER, О, Рядок (70), Номер транспортної накладної
WAYBILLDATE, О, Дата (РРРР-ММ-ДД), Дата транспортної накладної
TRANSPORTQUANTITY, О, Ціле позитивне число, "Кількість машин;

Загальна кількість повідомлень про відвантаження на замовлення. Якщо одне з полей TRANSPORTID чи TRANSPORTQUANTITY заповнено, то інше автоматично є обов’язковим."
TRANSPORTMARK, О, Рядок (70), Марка машини
TRANSPORTID, О, Рядок (70), "Порядковий номер авто. Якщо одне з полей TRANSPORTID чи TRANSPORTQUANTITY заповнено, то інше автоматично є обов’язковим."
TRANSPORTERNAME, О, Рядок (70), Ім'я водія
TRANSPORTTYPE, М, Рядок (70), "Тип транспортування: 20 - залізничний, 30 - дорожній, 40 - повітряний, 60 - спарений, 100 - кур’єрська служба"
PACKAGEWEIGHT, O, Десяткове число, Вага
PACKAGEWEIGHT, O, Десяткове число, Вага по накладній
TOTALPACKAGES, O, Десяткове число, Кількість коробів
TOTALPALLETS, O, Десяткове число, Кількість палет
DELIVERYPLACE, M, Число (13), GLN місця доставки
**POSITION**,,, Позиція
POSITIONNUMBER, М, Ціле позитивне число, Номер позиції
PRODUCT, М,"Число (8, 10, 14)", Штрихкод продукту
PRODUCTIDSUPPLIER, О, Рядок (16), Артикул в БД постачальника
PRODUCTIDBUYER, О, Рядок (16), Артикул в БД покупця
DELIVEREDQUANTITY, М, Ціле число, "Кількість товару, що поставляється"
DELIVEREDUNIT, О, Рядок (3), `Одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
AMOUNT, О, Число десяткове, Сума товару без ПДВ
AMOUNTWITHVAT, О, Число десяткове, Сума товару з ПДВ
CUSTOMSTARIFFNUMBER, О, Число (4-10), Код УКТЗЕД / Номер державної митної декларації (ВМД)
DKPPCODE,О/M (M - при відсутності коду CUSTOMSTARIFFNUMBER),Рядок (12),"Код по Державному класифікатору продукції та послуг. Може приймати значення: 58.29. , 68.20.1, 68.20.12, 68.20.12-00.00."
TAXRATE, О, Ціле число,"Ставка ПДВ (20%, 19%, 16%, 14%, 7%, 2%, 0%)"
BRUTTOWEIGHT,O,"Decimal (18,3) / Розділення крапкою", Вага брутто
**POSITION**,,, Позиція (закінчення блоку)
**DESADV**,,, Закінчення документа

